process_name,cpu(%),memory(bytes)
wifianalyticsd,0,4489600
Music,0,2900352
bird,0,9863592
mobiletimerd,0,2064728
MobileSMS,0,1343872
containermanagerd,0,2556208
logd,0,7782824
deleted,0,3129768
SafariBookmarksSyncAgent,0,2998776
extensionkitservice,0,1393064
ContainerMetadataExtractor,0,1442136
DPSubmissionService,0,1491288
TipsWidget,0,6324888
UsageTrackingAgent,0,2146648
GeneralMapsWidget,0,7848520
mobileassetd,0,6979928
powerd,0,2851160
TrustedPeersHelper,0,2703824
diskimagesiod,0,9896240
notification_proxy,0,1327448
mobileactivationd,0,2965928
AppStore,0,2163112
wcd,0,1671552
MTLCompilerService,0,12075472
PodcastsWidget,0,6210120
druid,0,2572672
mapspushd,0,4866472
WirelessRadioManagerd,0,2277720
vmd,0,1835312
pipelined,0,1491248
revisiond,0,1409328
crash_mover,0,967000
AccountExtension,0,1917352
com.apple.WebKit.GPU,0,2769360
AMDEngagementExtension,0,2392448
businessservicesd,0,2114000
clipserviced,0,1638784
idcredd,0,2179456
FamilyControlsAgent,0,2621824
triald,0,3211688
coreduetd,0,8864168
cloudpaird,0,2752896
suggestd,0,8536568
companion_proxy,0,1540440
WeatherWidget,0,11207360
FindMyDeviceBluetoothExtension,0,1573248
WiFiCloudAssetsXPCService,0,1474864
AutomationModeUI,0,2867584
deferredmediad,0,1097992
absd,0,917848
CacheDeleteExtension,0,1851736
lsd,0,2490712
com.apple.MapKit.SnapshotService,0,7061968
installcoordinationd,0,1458480
Podcasts,0,131256
localizationswitcherd,0,1376680
driverkitd,0,1523976
mobile_assertion_agent,0,1016152
com.apple.AppleUserHIDDrivers,0,950536
akd,0,3834280
networkserviceproxy,0,4358568
com.apple.WebKit.WebContent,0,151962864
nanoregistrylaunchd,0,835888
ospredictiond,0,1704360
familynotificationd,0,1147184
adprivacyd,0,4800976
pasted,0,1901008
InteractiveLegacyProfilesExtension,0,0
seld,0,0
CategoriesService,0,1130840
com.apple.MobileSoftwareUpdate.CleanupPreparePathService,0,1261872
pfd,0,819544
ckdiscretionaryd,0,1589592
MTLCompilerService,0,5030312
assistantd,0,9191848
tipsd,0,6848936
mobilerepaird,0,1950040
rapportd,0,3310032
touchsetupd,0,0
ManagedSettingsAgent,0,0
iMessageAppsViewService,0,3539488
CommCenterMobileHelper,0,1933656
CategoriesService,0,2589056
osanalyticshelper,0,1950440
transparencyd,0,3064232
asd,0,4391376
nehelper,0,2654592
PasscodeSettingsExtension,0,1343832
SpringBoard,0,60113720
ind,0,4424104
StatusKitAgent,0,4161920
MTLCompilerService,0,4178344
privacyaccountingd,0,1507672
swcd,0,1606016
assistivetouchd,0,8421880
nanotimekitcompaniond,0,6619600
ACCHWComponentAuthService,0,852232
dataaccessd,0,5226920
mobile_installation_proxy,0,0
LegacyProfilesExtension,0,0
fileproviderd,0,3441064
com.apple.FontServices.UserFontManager,0,1048920
coreauthd,0,1671592
contactsd,0,3735896
Preferences,0,196792
photoanalysisd,0,8503760
appstored,0,7963128
MTLCompilerService,0,7618984
trustd,0,4948352
com.apple.MobileInstallationHelperService,0,1032456
timed,0,1769776
analyticsd,0,3654016
replayd,0,1327488
seserviced,0,2802048
xpcroleaccountd,0,901384
thermalmonitord,0,2343256
dasd,0,6472184
atc,0,6783400
sleepd,0,2687320
com.apple.WebKit.Networking,0,14664304
AssetCacheLocatorService,0,0
configd,0,3391872
donotdisturbd,0,3031464
contextstored,0,5734824
CommCenter,0,8356344
microstackshot,0,917808
SCHelper,0,983344
weatherd,0,3932624
awdd,0,2949504
ScreenTimeAgent,0,5439912
Whiteboard,0,3424760
com.apple.quicklook.ThumbnailsAgent,0,2458104
locationd,0,16105976
accessoryd,0,3916200
imagent,0,4047272
healthrecordsd,0,3015120
CategoriesService,0,1622360
com.apple.FaceTime.FTConversationService,0,1720664
ManagementTestExtension,0,1261912
lockdownd,0,0
CacheDeleteDaily,0,1147224
navd,0,3817896
fairplayd.H2,0,1687936
bluetoothd,0,5751248
chronod,0,20578808
MTLCompilerService,0,7930360
com.apple.accessibility.AccessibilityUIServer,0,6324728
WiFiCloudAssetsXPCService,0,0
callservicesd,0,7078312
contactsdonationagent,0,2212224
amsengagementd,0,11944440
diskimagescontroller,0,0
corespeechd,0,3227992
mediaserverd,0,24330744
storebookkeeperd,0,2474408
MTLCompilerService,0,6930856
nanoregistryd,0,2752856
mobile_storage_proxy,0,0
accountsd,0,0
notifyd,0,2818352
tccd,0,2113960
homed,0,7389608
findmydeviced,0,4292992
fseventsd,0,2376024
TVRemoteConnectionService,0,1294640
ctkd,0,1442176
amsaccountsd,0,5013888
Files,0,671928
symptomsd,0,4243840
misd,0,1098032
axassetsd,0,1999232
UserEventAgent,0,7569872
fontservicesd,0,1229144
batteryintelligenced,0,803160
MTLCompilerService,0,7471568
com.apple.mobilenotes.WidgetExtension,0,7635608
com.apple.StreamingUnzipService,0,1098072
FindMyWidgetPeople,0,5980664
backboardd,0,46416576
appleaccountd,0,2720088
com.apple.Safari.SafeBrowsing.Service,0,3097040
CategoriesService,0,0
remotemanagementd,0,2294184
ThreeBarsXPCService,0,2752936
useractivityd,0,2228568
dprivacyd,0,2605480
itunesstored,0,8683984
testmanagerd,0,3522944
metrickitd,0,950576
CloudKeychainProxy,0,0
BiomeLighthousePlugin,0,2195920
cloudd,0,13337040
remindd,0,7537104
mediasetupd,0,2244992
MobileSlideShow,0,164024
healthd,0,7504296
announced,0,3146112
securityd,0,5226960
MobileBackupCacheDeleteService,0,1032576
calaccessd,0,5390720
iconservicesagent,0,2031960
carkitd,0,2933200
CalendarWidgetExtension,0,9175544
videosubscriptionsd,0,1966504
sensorkitd,0,0
PowerUIAgent,0,3653976
fmflocatord,0,3129728
MobileGestaltHelper,0,1048880
softwareupdated,0,1261952
LocalStorageFileProvider,0,2523600
nsurlsessiond,0,5816744
OTATaskingAgent,0,0
gpsd,0,0
fmfd,0,3768744
languageassetd,0,2179376
sysmond,0,2195800
MobileSafari,0,80823176
identityservicesd,0,6701480
biomed,0,1622320
FinHealthXPCServices,0,2163032
BlueTool,0,901464
afcd,0,1065224
cloudphotod,0,3686784
DesktopServicesHelper,0,1081648
apfs_iosd,0,835928
apsd,0,3998080
askpermissiond,0,1196336
mediaremoted,0,3342720
nearbyd,0,2490792
CMFSyncAgent,0,1474904
ndoagent,0,0
com.apple.accessibility.mediaaccessibilityd,0,885040
itunescloudd,0,7242152
nesessionmanager,0,1524016
bookassetd,0,2949464
deleted_helper,0,885000
com.apple.CloudDocs.MobileDocumentsFileProvider,0,2965968
ContextService,0,5980704
searchd,0,12927680
coreidvd,0,6259112
maild,0,6062504
watchlistd,0,4112768
familycircled,0,6128040
MTLCompilerService,0,7684560
CacheDeleteAppContainerCaches,0,2081152
mmaintenanced,0,0
filecoordinationd,0,1278256
healthappd,0,16450000
com.apple.sbd,0,2310568
passd,0,5833128
diagnosticextensionsd,0,2441560
proactiveeventtrackerd,0,2408832
automationmode-writer,0,1409448
IMDPersistenceAgent,0,2310488
MusicWidgets,0,6488568
ScreenTimeWidgetExtension,0,8815136
OTACrashCopier,0,2507136
gamed,0,6472064
PhotosReliveWidget,0,9175504
budd,0,1196376
misagent,0,0
ReportCrash,0,4407640
nanoprefsyncd,0,2375984
AppPredictionIntentsHelperService,0,2326952
online-auth-agent,0,2490752
Spotlight,0,8569496
amfid,0,1098112
splashboardd,0,2376104
nfcd,0,2851200
medialibraryd,0,2687360
dmd,0,3031384
com.apple.siri-distributed-evaluation,0,1655168
EscrowSecurityAlert,0,2015616
MTLCompilerService,0,5472680
com.apple.DictionaryServiceHelper,0,786776
HeuristicInterpreter,0,2900472
logd_helper,0,754008
ASPCarryLog,0,1589552
syncdefaultsd,0,3211648
rtcreportingd,0,3309912
tzd,0,1556824
geocorrectiond,0,1884504
MailWidgetExtension,0,5898824
diagnosticd,0,1114416
wifip2pd,0,1818928
watchdogd,0,1196296
keybagd,0,1638744
CategoriesService,0,0
cdpd,0,2441600
FSTaskScheduler,0,0
wifid,0,0
translationd,0,2802088
peopled,0,0
com.apple.WebKit.WebContent,0,4129352
AppSSODaemon,0,0
softwareupdateservicesd,0,4866512
destinationd,0,4014504
cfprefsd,0,0
FMDMagSafeExtension,0,1360216
mlruntimed,0,3015080
tailspind,0,0
CAReportingService,0,1982848
CategoriesService,0,1180032
duetexpertd,0,12125064
sysdiagnose,0,1835432
devicecheckd,0,0
webbookmarksd,0,2179416
AppleCredentialManagerDaemon,0,2392488
captiveagent,0,1179992
parsecd,0,4833704
MobileStorageMounter,0,0
ProtectedCloudKeySyncing,0,2081112
installd,0,1819008
symptomsd-diag,0,2425256
StocksWidget,0,10748408
progressd,0,2326912
silhouette,0,1655128
WallpaperMigrator,0,0
sosd,0,0
pkd,0,3473792
Maps,0,4260264
com.apple.CallKit.CallDirectoryMaintenance,0,0
sharingd,0,5144960
DTServiceHub,0,11420072
distnoted,0,2113880
MTLCompilerService,0,7127464
siriactionsd,0,3359144
com.apple.Safari.History,0,2539984
mDNSResponder,0,4047352
recentsd,0,2212264
siriinferenced,0,3047848
routined,0,9552296
GSSCred,0,0
kbd,0,8028664
reversetemplated,0,5095848
runningboardd,0,5325184
ptpd,0,4260184
siriknowledged,0,2654552
promotedcontentd,0,5358032
geod,0,7963048
assetsd,0,10125816
AppStoreWidgetsExtension,0,17744616
aggregated,0,7930320
biometrickitd,0,1868120
searchpartyd,0,5128656
TVWidgetExtension,0,8552992
adid,0,0
com.apple.siri.embeddedspeech,0,2277840
profiled,0,3654056
com.apple.dt.instruments.dtsecurity,0,1360256
MobileTimer,0,0
followupd,0,1835352
passwordbreachd,0,1982808
voiced,0,6439256
biomesyncd,0,0
coresymbolicationd,0,983384
remoted,0,1556904
Unknown,0,82104
