PID,USER,PR,NI,VIRT,RES,SHR,S,[%CPU],%MEM,TIME+,ARGS
2429,u0_a46,10,-10,8.4G,254M,111M,S,18.7,4.5,48:14.74,com.android.sys+
1164,system,-3,-8,2.9G,25M,17M,S,9.3,0.4,189:51.41,surfaceflinger
30181,u0_a94,20,0,7.4G,74M,56M,S,3.1,1.3,0:11.13,com.samsung.and+
24980,u0_a220,16,-4,23G,81M,50M,S,3.1,1.4,0:10.90,com.android.chr+
19274,root,20,0,0,0,0,I,3.1,0.0,0:06.84,[kworker/u16:17+
16494,root,20,0,0,0,0,I,3.1,0.0,0:11.94,[kworker/u16:15+
16400,u0_a302,20,0,6.9G,95M,40M,S,3.1,1.7,0:41.88,com.whatsapp
1315,system,18,-2,15G,310M,115M,S,3.1,5.5,213:00.26,system_server
979,system,20,0,2.0G,2.6M,2.2M,S,3.1,0.0,1:12.45,android.hardwar+
64,root,20,0,0,0,0,S,3.1,0.0,3:12.55,[rcuop/6]
9104,u0_a211,20,0,6.4G,141M,96M,S,0.0,2.5,0:01.48,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.8G,187M,119M,S,0.0,3.3,0:05.02,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
1315,system,18,-2,15G,311M,115M,S,48.4,5.5,213:00.40,system_server
31450,root,20,0,0,0,0,I,3.0,0.0,0:00.36,[kworker/3:2-ev+
16494,root,20,0,0,0,0,I,3.0,0.0,0:11.97,[kworker/u16:15+
577,lmkd,-2,0,2.0G,4.3M,3.5M,S,3.0,0.0,3:35.87,lmkd
576,logd,30,10,2.2G,9.3M,3.4M,S,3.0,0.1,9:33.11,logd
64,root,20,0,0,0,0,S,3.0,0.0,3:12.56,[rcuop/6]
24,root,20,0,0,0,0,S,3.0,0.0,3:11.07,[rcuop/1]
9104,u0_a211,20,0,6.4G,141M,96M,S,0.0,2.5,0:01.48,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.7G,187M,119M,S,0.0,3.3,0:05.03,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.32,com.android.ven+
8296,u150_a209,20,0,5.6G,69M,45M,S,0.0,1.2,0:00.32,com.google.proc+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
8753,u0_a211,20,0,6.8G,189M,120M,S,38.7,3.3,0:05.25,com.android.ven+
12909,root,20,0,0,0,0,I,3.2,0.0,0:09.57,[kworker/u16:7-+
1164,system,-3,-8,2.9G,25M,17M,S,3.2,0.4,189:51.50,surfaceflinger
1082,root,20,0,2.2G,2.6M,2.1M,S,3.2,0.0,0:58.28,vendor.qti.hard+
1055,system,-3,-16,2.4G,7.3M,6.1M,S,3.2,0.1,71:29.29,vendor.qti.hard+
40,root,20,0,0,0,0,S,3.2,0.0,2:56.34,[rcuop/3]
9104,u0_a211,20,0,6.4G,141M,96M,S,0.0,2.5,0:01.48,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.32,com.android.ven+
8296,u150_a209,20,0,5.6G,69M,45M,S,0.0,1.2,0:00.32,com.google.proc+
